id,wp_id,slug,status,title,description_html,description_text,permalink,region,categories,featured_image_url,gallery_image_urls,wp_created,wp_modified
2,1797,listing-1797,publish,Tunstall Village,"<p><b>Why Tunstall Village </b></p>
<p><b>Universities:</b><b></b></p>
<ul>
<li>Deakin University (Burwood Campus) : 7 km</li>
<li>Swinburne University of Technology (Hawthorn Campus) : 10 km</li>
<li>Box Hill Institute : 4 km</li>
</ul>
<p> </p>
<p><b>Landmarks:</b><b></b></p>
<ul>
<li>Nunawading Train Station : 0.2 km</li>
<li>Brand Smart Outlet Shopping : 0.5 km</li>
<li>Brentford Square Shopping Centre : 2 km</li>
<li>Blackburn Lake Sanctuary : 2.5 km</li>
<li>Westfield Doncaster : 8 km</li>
</ul>",Why Tunstall Village Universities: Deakin University (Burwood Campus) : 7 km Swinburne University of Technology (Hawthorn Campus) : 10 km Box Hill Institute : 4 km Landmarks: Nunawading Train Station : 0.2 km Brand Smart Outlet Shopping : 0.5 km Brentford Square Shopping Centre : 2 km Blackburn Lake Sanctuary : 2.5 km Westfield Doncaster : 8 km,https://agent.sathomson.com.au/listing/1797/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/11/Screenshot-2025-11-03-at-6.23.32 pm.png,null,11/3/2025 7:22,11/3/2025 7:25
3,1787,studwood,publish,Studwood,"<h3>Why Studwood?</h3>
<p class=""p1""><b>Universities:</b><b></b></p>
<p class=""p2"">Monash University (Clayton Campus) : 5 km</p>
<p class=""p2"">Deakin University (Burwood Campus) : 8 km</p>
<p class=""p1""><b>Landmarks:</b><b></b></p>
<p class=""p2"">Westfield Knox Shopping Centre : 2 km</p>
<p class=""p2"">Knox City Centre : 2 km</p>
<p class=""p2"">Scoresby Recreation Reserve : 1 km</p>
<p class=""p2"">Lakewood Nature Reserve : 3 km</p>
<p> </p>",Why Studwood? Universities: Monash University (Clayton Campus) : 5 km Deakin University (Burwood Campus) : 8 km Landmarks: Westfield Knox Shopping Centre : 2 km Knox City Centre : 2 km Scoresby Recreation Reserve : 1 km Lakewood Nature Reserve : 3 km,https://agent.sathomson.com.au/listing/studwood/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/11/Bedroom-scaled.jpg,null,11/3/2025 6:58,11/3/2025 7:02
4,1774,11-victoria,publish,11 Victoria,"<h3>Why 11 Victoria</h3>
<p> </p>
<p class=""p1"">Universities</p>
<ul>
<li>
<p class=""p1"">Victoria University Footscray Park Campus : 1 km</p>
</li>
<li>
<p class=""p1"">University of Melbourne Parkville Campus : 6 km</p>
</li>
<li>
<p class=""p1"">RMIT University Melbourne City Campus : 6 km</p>
</li>
<li>
<p class=""p1"">Monash University Caulfield Campus : 10 km</p>
</li>
</ul>
<p> </p>
<p class=""p1"">Landmarks</p>
<ul>
<li>
<p class=""p1"">Footscray Market : 1 km</p>
</li>
<li>
<p class=""p1"">Flemington Racecourse : 2 km</p>
</li>
<li>
<p class=""p1"">Marvel Stadium : 4 km</p>
</li>
<li>
<p class=""p1"">Melbourne Zoo : 5 km</p>
</li>
<li>
<p class=""p1"">Queen Victoria Market : 5 km</p>
</li>
<li>
<p class=""p1"">Federation Square : 6 km</p>
</li>
<li>
<p class=""p1"">Royal Botanic Gardens : 7 km</p>
</li>
<li>
<p class=""p1"">Melbourne Museum : 7 km</p>
</li>
<li>
<p class=""p1"">Crown Casino : 5 km</p>
</li>
</ul>",Why 11 Victoria Universities Victoria University Footscray Park Campus : 1 km University of Melbourne Parkville Campus : 6 km RMIT University Melbourne City Campus : 6 km Monash University Caulfield Campus : 10 km Landmarks Footscray Market : 1 km Flemington Racecourse : 2 km Marvel Stadium : 4 km Melbourne Zoo : 5 km Queen Victoria Market : 5 km Federation Square : 6 km Royal Botanic Gardens : 7 km Melbourne Museum : 7 km Crown Casino : 5 km,https://agent.sathomson.com.au/listing/11-victoria/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/09/Screenshot-2025-09-15-at-1.21.01 pm.png,null,9/15/2025 3:19,9/15/2025 3:22
12,1746,melrose-park-by-sekisui-house,publish,Melrose Park by Sekisui House,"<p>This is a project with 6 stages.</p>
<p>Call BDM for more info…</p>",This is a project with 6 stages. Call BDM for more info…,https://agent.sathomson.com.au/listing/melrose-park-by-sekisui-house/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-19-at-12.48.37 pm.png,null,8/19/2025 2:51,8/19/2025 2:58
13,1737,assemble,publish,Assemble,"<p>Why Assemble ?</p>
<p>University<br />
	•	University of Melbourne : 3 km<br />
	•	RMIT University (City Campus) : 4 km<br />
	•	Victoria University (City Flinders Campus) : 4 km<br />
	•	La Trobe University (City Campus) : 5 km<br />
	•	Monash University (Caulfield Campus) : 10 km</p>
<p>Landmark<br />
	•	Flemington Racecourse : 1 km<br />
	•	Royal Park : 2 km<br />
	•	Queen Victoria Market : 3 km<br />
	•	Melbourne Zoo : 3 km<br />
	•	Marvel Stadium : 4 km<br />
	•	State Library Victoria : 4 km<br />
	•	Federation Square : 5 km<br />
	•	Melbourne Museum : 5 km</p>",Why Assemble ? University • University of Melbourne : 3 km • RMIT University (City Campus) : 4 km • Victoria University (City Flinders Campus) : 4 km • La Trobe University (City Campus) : 5 km • Monash University (Caulfield Campus) : 10 km Landmark • Flemington Racecourse : 1 km • Royal Park : 2 km • Queen Victoria Market : 3 km • Melbourne Zoo : 3 km • Marvel Stadium : 4 km • State Library Victoria : 4 km • Federation Square : 5 km • Melbourne Museum : 5 km,https://agent.sathomson.com.au/listing/assemble/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-18-at-1.23.58 pm.png,null,8/18/2025 3:34,9/15/2025 2:50
14,1730,the-orchards,publish,The Orchards,"<p><strong>About Orchards</strong></p>
<p>This project comes in 4 stages. Stage 1 and 2 are completed. Stage 3 and 4 are under construction.</p>
<p><strong>Why Orchards</strong></p>
<p class=""p1""><b>Universities and Tertiary Institutions:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Bedford College: 0.5 km</p>
</li>
<li>
<p class=""p1"">Pre-Uni New College Castle Hill: 1.1 km</p>
</li>
<li>
<p class=""p1"">North West Community College (Rouse Hill): 5.6 km</p>
</li>
</ul>
<p> </p>
<p class=""p1""><b>Landmarks and Facilities:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Norwest Metro Station: 0.5 km</p>
</li>
<li>
<p class=""p1"">Norwest Marketplace (shopping precinct): 1 km</p>
</li>
<li>
<p class=""p1"">Norwest Business Park: 4.6 km</p>
</li>
<li>
<p class=""p1"">Norwest Lake and surrounding parklands: within a few km</p>
</li>
<li>
<p class=""p1"">Norwalks walking trails network: within Norwest area (~2–4.5 km)</p>
</li>
</ul>",About Orchards This project comes in 4 stages. Stage 1 and 2 are completed. Stage 3 and 4 are under construction. Why Orchards Universities and Tertiary Institutions: Bedford College: 0.5 km Pre-Uni New College Castle Hill: 1.1 km North West Community College (Rouse Hill): 5.6 km Landmarks and Facilities: Norwest Metro Station: 0.5 km Norwest Marketplace (shopping precinct): 1 km Norwest Business Park: 4.6 km Norwest Lake and surrounding parklands: within a few km Norwalks walking trails network: within Norwest area (~2–4.5 km),https://agent.sathomson.com.au/listing/the-orchards/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-13-at-5.58.04 pm.png,null,8/13/2025 8:01,8/13/2025 8:04
5,1768,melrose-central-by-deicorp,publish,Melrose Central by Deicorp,,,https://agent.sathomson.com.au/listing/melrose-central-by-deicorp/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-20-at-11.27.09 am.png,null,8/20/2025 1:26,8/20/2025 1:29
6,1765,cosmopolitan-by-deicorp,publish,Cosmopolitan by Deicorp,,,https://agent.sathomson.com.au/listing/cosmopolitan-by-deicorp/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-20-at-11.19.32 am.png,null,8/20/2025 1:19,8/20/2025 1:20
7,1761,nine-by-mirvac,publish,Nine by Mirvac,,,https://agent.sathomson.com.au/listing/nine-by-mirvac/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-20-at-11.08.59 am.png,null,8/20/2025 1:11,8/20/2025 1:11
15,1719,st-boulevard-anaca,publish,St Boulevard – Anaca,"<p><span style=""text-decoration: underline;""><strong>Why St Boulevard – Magnolia?</strong></span></p>
<p>Anaca is one of three buildings of the St Boulevard which consists with other buildings named Ginko, Magnolia.</p>
<p><strong>### **Universities:**</strong><br />
1. **University of Melbourne (Southbank Campus – Victorian College of the Arts)**<br />
Approximately 2.3 km away (6-minute drive or 25-minute walk), located in the Southbank arts precinct.</p>
<p>2. **Swinburne University of Technology (Prahran Campus)**<br />
Approximately 3 km away (8-minute drive), located in nearby Prahran.</p>
<p>3. **RMIT University (City Campus)**<br />
Approximately 3.5 km away (10-minute drive or 25-minute tram ride).</p>
<p>4. **Monash University (Caulfield Campus)**<br />
Approximately 6 km away (15-minute drive), located in Caulfield.</p>
<p>5. **Victoria University (City Flinders Campus)**<br />
Approximately 4 km away (10-minute drive), located in the Melbourne CBD.</p>
<p><strong>### **Landmarks:**</strong><br />
1. **Albert Park Lake**<br />
Approximately 700 meters away (9-minute walk), a large recreational park famous for its lake and the Australian Grand Prix.</p>
<p>2. **Royal Botanic Gardens**<br />
Approximately 2 km away (5-minute drive or 20-minute walk), a popular Melbourne landmark for walking, gardens, and nature.</p>
<p>3. **Shrine of Remembrance**<br />
Approximately 2.2 km away (5-minute drive), a major war memorial with great views of the city.</p>
<p>4. **National Gallery of Victoria (NGV)**<br />
Approximately 2.7 km away (7-minute drive), one of Australia’s major art galleries located on St Kilda Road.</p>
<p>5. **Flinders Street Station**<br />
Approximately 3.5 km away (10-minute drive or 20-minute tram ride), one of Melbourne’s most iconic landmarks and central train stations.</p>
<p> </p>","Why St Boulevard – Magnolia? Anaca is one of three buildings of the St Boulevard which consists with other buildings named Ginko, Magnolia. ### **Universities:** 1. **University of Melbourne (Southbank Campus – Victorian College of the Arts)** Approximately 2.3 km away (6-minute drive or 25-minute walk), located in the Southbank arts precinct. 2. **Swinburne University of Technology (Prahran Campus)** Approximately 3 km away (8-minute drive), located in nearby Prahran. 3. **RMIT University (City Campus)** Approximately 3.5 km away (10-minute drive or 25-minute tram ride). 4. **Monash University (Caulfield Campus)** Approximately 6 km away (15-minute drive), located in Caulfield. 5. **Victoria University (City Flinders Campus)** Approximately 4 km away (10-minute drive), located in the Melbourne CBD. ### **Landmarks:** 1. **Albert Park Lake** Approximately 700 meters away (9-minute walk), a large recreational park famous for its lake and the Australian Grand Prix. 2. **Royal Botanic Gardens** Approximately 2 km away (5-minute drive or 20-minute walk), a popular Melbourne landmark for walking, gardens, and nature. 3. **Shrine of Remembrance** Approximately 2.2 km away (5-minute drive), a major war memorial with great views of the city. 4. **National Gallery of Victoria (NGV)** Approximately 2.7 km away (7-minute drive), one of Australia’s major art galleries located on St Kilda Road. 5. **Flinders Street Station** Approximately 3.5 km away (10-minute drive or 20-minute tram ride), one of Melbourne’s most iconic landmarks and central train stations.",https://agent.sathomson.com.au/listing/st-boulevard-anaca/,,null,https://agent.sathomson.com.au/wp-content/uploads/2025/08/Screenshot-2025-08-04-at-4.34.49 pm.png,null,8/4/2025 6:35,8/4/2025 6:37
